2025-07-12 11:42:54 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:42:55 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:42:55 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:45:15 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:45:15 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:45:15 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:47:33 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:47:33 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:47:33 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 11:53:35 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
2025-07-12 12:03:06 | tools.email_service | WARNING | ⚠️ Email service requires authentication | D:\Augment code projects\Project-Chimera-Dev\tools\email_service.py:57
