2025-07-12 11:42:55 | Agent.HERALD | ERROR | Failed to generate outreach email: the JSON object must be str, bytes or bytearray, not LLMResponse | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:214
2025-07-12 11:42:55 | Agent.HERALD | ERROR | Failed to draft outreach for job test-comm-001: Email service not initialized | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:149
2025-07-12 11:42:55 | Agent.HERALD | ERROR | Failed to generate outreach email: the JSON object must be str, bytes or bytearray, not LLMResponse | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:214
2025-07-12 11:42:55 | Agent.HERALD | ERROR | Failed to draft outreach for job 1612e50b-b711-4fdf-9423-92688fc115ad: Email service not initialized | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:149
2025-07-12 11:45:15 | Agent.HERALD | ERROR | Failed to generate outreach email: Expecting value: line 1 column 1 (char 0) | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:216
2025-07-12 11:45:15 | Agent.HERALD | ERROR | Failed to draft outreach for job test-comm-001: Email service not initialized | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:149
2025-07-12 11:45:15 | Agent.HERALD | ERROR | Failed to generate outreach email: Expecting value: line 1 column 1 (char 0) | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:216
2025-07-12 11:45:15 | Agent.HERALD | ERROR | Failed to draft outreach for job c2796adb-2964-4816-a131-a01f1f8a69a1: Email service not initialized | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:149
2025-07-12 11:47:33 | Agent.HERALD | ERROR | Failed to generate outreach email: Expecting value: line 1 column 1 (char 0) | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:216
2025-07-12 11:47:33 | Agent.HERALD | ERROR | Failed to draft outreach for job test-comm-001: Email service not initialized | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:149
2025-07-12 11:47:33 | Agent.HERALD | ERROR | Failed to generate outreach email: Expecting value: line 1 column 1 (char 0) | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:216
2025-07-12 11:47:33 | Agent.HERALD | ERROR | Failed to draft outreach for job 2c5c223b-9d81-4d98-9497-7a552ce0bb14: Email service not initialized | D:\Augment code projects\Project-Chimera-Dev\agents\communicator.py:149
